px1,py1,pz1
-0.121584,-10.9703,12.0486
6.08569,-13.125,-3.475
-9.84867,1.72643,-7.28033
12.6442,3.92843,-1.34121
-10.0885,-7.12564,-23.7802
-8.10251,0.836558,-2.47295
4.64163,9.29118,-1.52502
1.66108,2.4309,-7.45262
-1.95993,1.15695,-9.82926
6.7918,-4.20964,3.37871
3.64748,0.530528,-4.94593
1.09524,14.2527,11.6674
35.317,3.87143,9.13502
-3.21488,0.206333,7.33091
-7.63433,4.41347,0.556175
3.05271,11.8293,5.65494
-12.5899,39.7205,-46.962
-2.15414,8.10961,-3.16992
-21.5057,4.7678,-0.524289
-2.71343,0.756251,11.1792
-9.75319,-6.69152,15.1541
-11.2492,-10.9416,-5.54075
-0.344638,-2.08896,8.6988
-4.63081,0.915754,2.01595
-2.48882,14.183,13.498
-1.97616,12.9693,-0.409895
-11.9027,0.776056,-0.20279
-1.0517,9.3221,-5.50088
-2.70508,8.95879,-7.42682
2.14183,6.44868,2.58683
2.86929,6.44392,-18.7933
7.6628,-3.92983,3.83461
-15.8796,-11.8222,40.9039
-5.74157,-9.82875,-14.4141
1.44737,-1.56606,9.23697
2.20119,0.370559,-7.49537
-2.63922,-6.43161,9.54021
-1.03705,-14.0217,-6.92538
-8.45863,-4.52545,-2.23756
-8.98052,-13.3343,-28.4171
7.93629,-0.834701,-31.7506
0.809839,2.69396,11.3372
7.93912,9.32027,3.26753
-6.15862,1.11031,4.63616
-2.15963,-7.56041,1.99383
4.09299,-5.80488,0.534445
-2.74332,-3.06482,-21.0384
10.7373,8.42155,36.4203
-14.6209,-4.59688,4.50123
-5.36162,-4.50497,-3.37315
-5.94698,-6.0733,8.79678
-3.3713,-9.62022,-12.3116
3.82745,6.78375,-5.68617
14.6135,-10.4217,18.1467
2.22339,2.49204,8.2121
8.17555,-9.49543,13.7664
4.47485,-9.37458,-22.3724
1.95377,2.67325,10.0267
5.24626,-14.2404,9.75396
-8.56074,1.79575,-14.1438
22.733,0.796918,79.3153
-4.91381,1.35493,1.88672
-4.08633,-4.81757,1.87478
-6.99905,1.25892,-1.58667
17.9229,-3.77472,9.61407
0.274855,-9.24867,-6.74528
-2.55801,11.5265,-17.5231
-1.95701,9.0664,-4.22663
-7.38053,10.481,-14.3772
-3.91594,-9.09677,1.73017
4.38936,21.4152,7.19857
2.54451,10.5808,-8.42035
-4.43015,-2.60622,-3.96491
-11.1682,-1.66703,20.5889
-1.19767,4.99339,-9.39102
-2.46435,2.09113,-2.67902
-13.7827,-5.17366,11.5373
-0.160604,10.1835,0.752869
-2.77681,1.82093,-6.79157
-5.02436,3.76891,-12.963
-14.378,-12.1295,4.74885
0.121115,3.57529,-12.252
-12.7656,-5.83142,24.3649
0.942642,-2.03125,4.65438
-11.8308,-31.8257,22.0296
3.20619,0.27765,-6.09611
8.1143,-0.00417414,-8.86386
-1.13643,0.943812,-8.05476
4.35288,7.29095,8.10636
-6.25614,0.0758888,-7.94385
9.06617,-6.62084,24.4828
7.07375,4.44992,17.6774
-8.00413,-5.39004,20.8272
3.38207,3.6924,-2.05922
8.41499,-16.3331,13.5327
-1.92703,-14.1263,4.32396
-2.14188,6.66527,-9.58063
-1.39546,1.72295,8.36164
-1.95342,-8.32926,35.0199
2.58087,4.21472,5.69251
-6.28639,-3.92468,-5.05295
0.134147,7.58643,8.48153
-13.7144,-4.14093,6.37593
-7.24013,5.11311,-35.3424
-3.92814,-0.687482,-4.34795
-8.70727,1.68762,-0.587992
8.92668,-3.61667,-4.04816
-1.58112,-5.97564,-8.34449
26.5344,6.55609,9.5631
-3.44623,5.96625,3.69145
10.3134,3.07395,-14.9077
-2.60032,12.4207,-19.6994
-8.81679,0.135098,47.1837
3.84414,-4.42619,-4.76896
-1.62645,-5.95984,23.7469
2.86888,10.2141,20.6302
0.596975,10.1224,-11.4696
7.06484,-0.682047,-2.7457
7.16655,-4.98914,-5.00259
-12.4098,-1.88441,6.62955
-9.48227,2.96401,4.17614
4.373,8.89723,-9.74071
0.601375,-5.44439,8.24204
-0.0455536,8.21508,5.17199
-7.66896,14.1166,-41.6007
-4.76908,-4.09744,-10.4657
2.82091,-1.4221,4.7404
-0.180473,-5.66176,-8.92782
-2.68443,9.31708,-9.1152
1.77632,8.15387,4.56536
-5.55925,5.96361,-15.5514
1.41663,-2.73093,-4.67535
5.78095,-9.21417,1.10045
7.25207,3.01852,-6.95031
3.39844,-6.9719,10.3277
0.0538044,3.61093,-6.58242
-13.1574,-24.1793,27.0191
-2.40026,-6.55558,-8.41938
-17.8151,-3.34357,8.97083
